,blue_team,red_team,result
0,SANDBOX Gaming,T1,1
1,T1,SANDBOX Gaming,0
2,T1,SANDBOX Gaming,1
3,T1,SANDBOX Gaming,0
4,DRX,Afreeca Freecs,0
5,Afreeca Freecs,DRX,1
6,Afreeca Freecs,DRX,1
7,SANDBOX Gaming,Afreeca Freecs,0
8,Afreeca Freecs,SANDBOX Gaming,1
9,SANDBOX Gaming,Afreeca Freecs,0
10,Invictus Gaming,FunPlus Phoenix,1
11,Invictus Gaming,FunPlus Phoenix,0
12,LGD Gaming,LNG Esports,1
13,Invictus Gaming,FunPlus Phoenix,1
14,LNG Esports,LGD Gaming,1
15,LGD Gaming,LNG Esports,0
16,eStar,Rogue Warriors,1
17,Rogue Warriors,eStar,0
18,Oh My God,JD Gaming,0
19,Oh My God,JD Gaming,0
20,Vici Gaming,Bilibili Gaming,0
21,Bilibili Gaming,Vici Gaming,0
22,Vici Gaming,Bilibili Gaming,0
23,Invictus Gaming,Dominus Esports,1
24,Dominus Esports,Invictus Gaming,0
25,Victory Five,EDward Gaming,0
26,Victory Five,EDward Gaming,0
27,Rogue Warriors,Suning,1
28,Suning,Rogue Warriors,0
29,FunPlus Phoenix,eStar,0
30,FunPlus Phoenix,eStar,1
31,eStar,FunPlus Phoenix,1
32,LNG Esports,Top Esports,0
33,Top Esports,LNG Esports,1
34,JD Gaming,Team WE,1
35,Team WE,JD Gaming,0
36,Bilibili Gaming,Royal Never Give Up,0
37,Royal Never Give Up,Bilibili Gaming,0
38,Bilibili Gaming,Royal Never Give Up,1
39,Vici Gaming,Dominus Esports,0
40,Vici Gaming,Dominus Esports,1
41,Vici Gaming,Dominus Esports,1
42,EDward Gaming,Top Esports,1
43,Top Esports,EDward Gaming,1
44,EDward Gaming,Top Esports,0
45,Misfits Premier,IZI Dream,1
46,GameWard,Team MCES,1
47,Solary,GamersOrigin,0
48,Vitality.Bee,LDLC OL,1
49,Misfits Premier,GameWard,0
50,GamersOrigin,IZI Dream,1
51,LDLC OL,Solary,1
52,Vitality.Bee,Team MCES,1
53,G2 Esports,MAD Lions,1
54,SK Gaming,Team Vitality,1
55,Rogue,Misfits Gaming,1
56,Excel Esports,FC Schalke 04 Esports,1
57,Fnatic,Origen,0
58,Evil Geniuses Academy,Dignitas Academy,0
59,Cloud9 Academy,Team Liquid Academy,1
60,TSM Academy,Immortals Academy,0
61,FlyQuest Academy,CLG Academy,1
62,Golden Guardians Academy,100 Thieves Academy,1
63,Team Vitality,MAD Lions,0
64,paiN Gaming,Flamengo Esports,0
65,Excel Esports,Rogue,0
66,Prodigy Esports,Vivo Keyd,1
67,Origen,FC Schalke 04 Esports,1
68,INTZ,Redemption eSports Porto Alegre,0
69,Fnatic,Misfits Gaming,1
70,FURIA Esports,KaBuM! e-Sports,1
