,blue_team,red_team,result
0,Suning,LGD Gaming,1
1,LGD Gaming,Suning,0
2,LGD Gaming,Suning,0
3,MAD Lions,INTZ,1
4,PSG Talon,Rainbow7,1
5,Legacy Esports,INTZ,1
6,LGD Gaming,PSG Talon,0
7,Team Liquid,MAD Lions,1
8,Rainbow7,V3 Esports,0
9,INTZ,SuperMassive Esports,0
10,V3 Esports,Unicorns Of Love.CIS,0
11,LGD Gaming,Rainbow7,0
12,Unicorns Of Love.CIS,PSG Talon,1
13,SuperMassive Esports,MAD Lions,1
14,Team Liquid,Legacy Esports,1
15,V3 Esports,LGD Gaming,0
16,Rainbow7,Unicorns Of Love.CIS,1
17,PSG Talon,V3 Esports,1
18,Unicorns Of Love.CIS,LGD Gaming,1
19,Unicorns Of Love.CIS,PSG Talon,0
20,LGD Gaming,V3 Esports,1
21,SuperMassive Esports,Team Liquid,0
22,MAD Lions,Legacy Esports,0
23,INTZ,Team Liquid,1
24,Legacy Esports,SuperMassive Esports,1
25,MAD Lions,INTZ,1
26,Team Liquid,Legacy Esports,1
27,Rainbow7,LGD Gaming,0
28,Rainbow7,LGD Gaming,0
29,LGD Gaming,Rainbow7,1
30,SuperMassive Esports,MAD Lions,1
31,MAD Lions,SuperMassive Esports,1
32,SuperMassive Esports,MAD Lions,1
33,MAD Lions,SuperMassive Esports,1
34,SuperMassive Esports,MAD Lions,1
35,Legacy Esports,LGD Gaming,0
36,Legacy Esports,LGD Gaming,0
37,Legacy Esports,LGD Gaming,0
38,Unicorns Of Love.CIS,SuperMassive Esports,1
39,SuperMassive Esports,Unicorns Of Love.CIS,0
40,Unicorns Of Love.CIS,SuperMassive Esports,1
41,FlyQuest,Top Esports,0
42,Unicorns Of Love.CIS,DRX,0
43,Rogue,PSG Talon,1
44,DAMWON Gaming,JD Gaming,1
45,Gen.G,LGD Gaming,1
46,Team SoloMid,Fnatic,0
47,Machi Esports,Team Liquid,1
48,G2 Esports,Suning,1
49,Rogue,DAMWON Gaming,0
50,PSG Talon,JD Gaming,0
51,Gen.G,Team SoloMid,1
52,LGD Gaming,Fnatic,1
53,Machi Esports,G2 Esports,0
54,Team Liquid,Suning,0
55,DAMWON Gaming,PSG Talon,1
56,JD Gaming,Rogue,1
57,FlyQuest,Unicorns Of Love.CIS,1
58,Top Esports,DRX,1
59,G2 Esports,Team Liquid,0
60,Suning,Machi Esports,1
61,DRX,FlyQuest,1
62,Top Esports,Unicorns Of Love.CIS,1
63,Fnatic,Gen.G,1
64,Team SoloMid,LGD Gaming,0
65,Team Liquid,G2 Esports,0
66,Machi Esports,Suning,0
67,G2 Esports,Machi Esports,1
68,Suning,Team Liquid,0
69,Team Liquid,Machi Esports,1
70,Suning,G2 Esports,1
71,Suning,G2 Esports,1
72,PSG Talon,DAMWON Gaming,0
73,Rogue,JD Gaming,0
74,DAMWON Gaming,Rogue,1
75,JD Gaming,PSG Talon,0
76,PSG Talon,Rogue,1
77,JD Gaming,DAMWON Gaming,1
78,Fnatic,Team SoloMid,1
79,LGD Gaming,Gen.G,0
80,Team SoloMid,Gen.G,0
81,Fnatic,LGD Gaming,1
82,LGD Gaming,Team SoloMid,1
83,Gen.G,Fnatic,1
84,FlyQuest,DRX,0
85,Unicorns Of Love.CIS,Top Esports,0
86,DRX,Unicorns Of Love.CIS,1
87,Top Esports,FlyQuest,0
88,Unicorns Of Love.CIS,FlyQuest,0
89,DRX,Top Esports,0
90,DAMWON Gaming,DRX,1
91,DRX,DAMWON Gaming,0
92,DRX,DAMWON Gaming,0
93,Suning,JD Gaming,0
94,Suning,JD Gaming,1
95,JD Gaming,Suning,0
96,JD Gaming,Suning,0
97,Top Esports,Fnatic,0
98,Top Esports,Fnatic,0
99,Top Esports,Fnatic,1
100,Fnatic,Top Esports,0
101,Fnatic,Top Esports,0
102,Gen.G,G2 Esports,0
103,Gen.G,G2 Esports,0
104,G2 Esports,Gen.G,1
105,G2 Esports,DAMWON Gaming,0
106,DAMWON Gaming,G2 Esports,0
107,G2 Esports,DAMWON Gaming,0
108,DAMWON Gaming,G2 Esports,1
109,Top Esports,Suning,0
110,Suning,Top Esports,0
111,Top Esports,Suning,0
112,Suning,Top Esports,1
113,DAMWON Gaming,Suning,1
114,DAMWON Gaming,Suning,0
115,Suning,DAMWON Gaming,0
116,DAMWON Gaming,Suning,1
